MonA,MonB,Eg,HER HMT
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc2cc(Br)c1nsnc1c2Br,2.32,60.3
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc2c(F)c(Br)c1nsnc1c2Br,2.36,100.4
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cnc(Br)c2nsnc12,2.14,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)c2nonc12,2,45.9
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2c1nsnc1c(Br)c3[nH]s[nH]c23,2.53,371.3
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1c(Br)cccc1Br,2.71,1929.9
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1cc(Br)ccc1Br,2.65,7648.8
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1c(F)c(Br)ccc1Br,2.69,5248
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1cc(Br)c(F)cc1Br,2.7,3500.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1c(F)c(Br)c(F)c(F)c1Br,2.81,3533.8
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc2c(F)c(c1c(F)c(F)c(Br)c(F)c1F)c(F)c(F)c2Br,2.77,3157.2
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,FC(F)(F)c1cc(Br)ccc1Br,2.72,3581.2
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cc(I)c(Br)cc1I,2.77,1327.1
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cccc(Br)n1,2.65,3968.9
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cncc(Br)c1,2.7,2245.8
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=n1cc(Br)ccc1Br,2.33,1535.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1c(Br)cncc1Br,2.4,6232
