MonA,MonB,Eg,HER,T
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1cc(O)c(Br)c(O)c1Br,2.7,2253.5,9.11
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)cc1,2.45,1947.9,3.51
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Cc1cc(Br)cc(Br)c1,2.71,3363.4,10.05
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Cc1cc(Br)ccc1Br,2.63,2657.8,28.67
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CCc1cc(Br)ccc1Br,2.69,651.5,52.04
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Cc1cc(Br)c(C)cc1Br,2.77,1243.8,9.01
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,BrCc1ccc(CBr)cc1,2.55,593.1,41.65
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)c2ccccc12,2.43,613.1,42.3
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc1cc(Br)ccc1c2,2.56,8742.2,3.63
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2cc(Br)cc(c1ccccc1)c2,2.53,620.3,85.95
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccc(Br)cc1)cc2,2.59,2294.8,4.74
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccccc1)c(Br)c2,ND,1011.7,77.72
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccccc1c2ccccc2Br,2.65,3571.4,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc(c2ccc(c1ccc(Br)cc1)cc2)cc3,2.62,4155.4,5.63
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc(C(c1ccccc1)c2ccc(Br)cc2)cc3,2.25,527.3,59.26
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2c1ccccc1c(Br)c3ccccc23,2.52,4953.8,7.86
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc5c1ccccc1c(c3c2ccccc2c(Br)c4ccccc34)c6ccccc56,2.51,4413,9.45
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc4ccc3c1ccc(Br)cc1c2ccccc2c3c4,2.52,5630.5,5.12
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3ccc4c2C(=CCc1c23)C=CC4Br,2.38,1985.6,7.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CC(C)(C)c1cc2ccc3c(Br)cc(Br)c4ccc(c1)c2c34,2.29,1231.8,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,N#Cc1cc(Br)ccc1Br,2.56,1053.4,3.46
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1ccc(Br)cc1Br,2.01,20.5,78.29
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1cc(Br)ccc1Br,2.3,806.3,7.73
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1c(N)c(Br)ccc1Br,2.96,0,63.01
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc4ccc3c1ccc(Br)cc1n(c2ccccc2)c3c4,2.31,9772.2,2.68
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=Cc1cc(Br)ccc1Br,2.67,1771.8,1.13
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=Cc1cc(Br)cc(Br)c1,2.61,1581.8,10.08
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1ccc(Br)cc1Br,2.38,0,73.89
